eX,eY,eYAW,eVx,eVy,iEX,iEY,iEYAW,iEVx,iEVy,dEX,dEY,dEYAW,dEVx,dEVy
-27.641409539409203, -7.889167516613517, -2.0006547854938015, -2.754181536765988, 3.952312056156048, 0.0, 0.0, 0.0, 0.0, 0.0, -27.641409539409203, -7.889167516613517, -2.0006547854938015, -2.754181536765988, 3.952312056156048
-27.641409539409203, -7.889167516613517, -2.0006547854938015, -2.754181536765988, 3.952312056156048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.684838772117548, -7.735385419769905, -2.0062138720215734, -2.732167848488901, 3.967561640905234, 0.0, 0.0, 0.0, 0.0, 0.0, -0.043429232708344756, 0.15378209684361188, -0.005559086527771928, 0.022013688277087162, 0.015249584749186251
-27.684838772117548, -7.735385419769905, -2.0062138720215734, -2.732167848488901, 3.967561640905234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.70157854475636, -7.675221922474046, -2.0083863712207393, -2.723541883205879, 3.9734879057476045, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01673977263881099, 0.0601634972958589, -0.002172499199165845, 0.008625965283021841, 0.0059262648423703546
-27.70157854475636, -7.675221922474046, -2.0083863712207393, -2.723541883205879, 3.9734879057476045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.70157854475636, -7.675221922474046, -2.0083863712207393, -2.723541883205879, 3.9734879057476045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.70157854475636, -7.675221922474046, -2.0083863712207393, -2.723541883205879, 3.9734879057476045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.70157854475636, -7.675221922474046, -2.0083863712207393, -2.723541883205879, 3.9734879057476045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.88142902672732, -7.323207164210148, -2.013615706589644, -2.694098414240756, 3.9817236761236035, 0.0, 0.0, 0.0, 0.0, 0.0, -0.17985048197096276, 0.3520147582638984, -0.005229335368904575, 0.029443468965123287, 0.008235770375998985
-27.88142902672732, -7.323207164210148, -2.013615706589644, -2.694098414240756, 3.9817236761236035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.88142902672732, -7.323207164210148, -2.013615706589644, -2.694098414240756, 3.9817236761236035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.917408178785905, -7.18482903912332, -2.0185755892085906, -2.674316475228525, 3.995037057267316, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03597915205858371, 0.13837812508682745, -0.004959882618946754, 0.019781939012230687, 0.013313381143712721
-27.917408178785905, -7.18482903912332, -2.0185755892085906, -2.674316475228525, 3.995037057267316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.917408178785905, -7.18482903912332, -2.0185755892085906, -2.674316475228525, 3.995037057267316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.917408178785905, -7.18482903912332, -2.0185755892085906, -2.674316475228525, 3.995037057267316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.917408178785905, -7.18482903912332, -2.0185755892085906, -2.674316475228525, 3.995037057267316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.917408178785905, -7.18482903912332, -2.0185755892085906, -2.674316475228525, 3.995037057267316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-27.917408178785905, -7.18482903912332, -2.0185755892085906, -2.674316475228525, 3.995037057267316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
